date,country,rate,currency
3-Jan-00,Canada,1.4465,Dollar
4-Jan-00,Canada,1.4518,Dollar
5-Jan-00,Canada,1.4518,Dollar
6-Jan-00,Canada,1.4571,Dollar
7-Jan-00,Canada,1.4505,Dollar
10-Jan-00,Canada,1.4568,Dollar
11-Jan-00,Canada,1.4570,Dollar
3-Jan-00,Brazil,1.8050,Real
4-Jan-00,Australia,0.6562,Dollar
3-Jan-00,Greece,325.2000,Drachma
3-Jan-00,EMU member countries,1.0155,Euro
3-Jan-00,Denmark,7.3290,Krone
3-Jan-00,"China, P.R.",8.2798,Yuan
3-Jan-00,New Zealand,0.5254,Dollar
12-Jan-00,Canada,1.4550,Dollar
13-Jan-00,Canada,1.4495,Dollar
14-Jan-00,Canada,1.4497,Dollar
17-Jan-00,Canada,ND,Dollar
18-Jan-00,Canada,1.4502,Dollar
19-Jan-00,Canada,1.4527,Dollar
4-Jan-00,Brazil,1.8405,Real
5-Jan-00,Brazil,1.8560,Real
6-Jan-00,Brazil,1.8400,Real
7-Jan-00,Brazil,1.8310,Real
5-Jan-00,Australia,0.6550,Dollar
6-Jan-00,Australia,0.6540,Dollar
7-Jan-00,Australia,0.6548,Dollar
10-Jan-00,Australia,0.6561,Dollar
11-Jan-00,Australia,0.6575,Dollar
4-Jan-00,Greece,320.5500,Drachma
5-Jan-00,Greece,320.1000,Drachma
6-Jan-00,Greece,320.5000,Drachma
7-Jan-00,Greece,320.6500,Drachma
10-Jan-00,Greece,322.1500,Drachma
4-Jan-00,EMU member countries,1.0309,Euro
5-Jan-00,EMU member countries,1.0335,Euro
6-Jan-00,EMU member countries,1.0324,Euro
7-Jan-00,EMU member countries,1.0294,Euro
10-Jan-00,EMU member countries,1.0252,Euro
4-Jan-00,Denmark,7.2180,Krone
5-Jan-00,Denmark,7.2080,Krone
6-Jan-00,Denmark,7.2125,Krone
7-Jan-00,Denmark,7.2285,Krone
10-Jan-00,Denmark,7.2540,Krone
4-Jan-00,"China, P.R.",8.2799,Yuan
5-Jan-00,"China, P.R.",8.2798,Yuan
6-Jan-00,"China, P.R.",8.2797,Yuan
7-Jan-00,"China, P.R.",8.2794,Yuan
10-Jan-00,"China, P.R.",8.2794,Yuan
11-Jan-00,"China, P.R.",8.2795,Yuan
4-Jan-00,New Zealand,0.5198,Dollar
5-Jan-00,New Zealand,0.5171,Dollar
6-Jan-00,New Zealand,0.5145,Dollar
7-Jan-00,New Zealand,0.5160,Dollar
